タイトル,カテゴリ,URL,画像URL,最大プレイ人数
マリオカートワールド,テレビゲーム, https://www.nintendo.com/jp/games/switch2/aaaaa/index.html, https://m.media-amazon.com/images/I/71IOtSAH3BL._AC_SL1004_.jpg, 4
ピコパーク2,テレビゲーム,https://picoparkgame.com/pp2/,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2644470/header.jpg?t=1760143639,8
オーバークック2,テレビゲーム,https://store-jp.nintendo.com/item/software/D70010000010088?srsltid=AfmBOoqQA4XgfDhZqh9PjX7gaKlXRkNx9zoBlUGYhm0lk3CmjyHYAq6x,https://store-jp.nintendo.com/dw/image/v2/BFGJ_PRD/on/demandware.static/-/Sites-all-master-catalog/ja_JP/dwfb3f013e/products/D70010000010088/heroBanner/dbf38665080e48dbab879aa6a9a9ea3f85007aa813606fd62d3bcf25e293485a.jpg?sw=1368&strip=false,4
カービィのエアライダー,テレビゲーム,https://www.nintendo.com/jp/games/switch2/aaaba/index.html,https://m.media-amazon.com/images/I/61HKs0rfALL._AC_SL1000_.jpg,4
ICE COOL,ボードゲーム,https://hobbyjapan.games/icecool/,https://m.media-amazon.com/images/I/A1x7AZhUP2L._AC_SL1500_.jpg,4
ひらがじゃん【牌】,ボードゲーム,https://hiragajong.myshopify.com/,https://m.media-amazon.com/images/I/81BXDy0cdCL._AC_SL1500_.jpg,4
おばけキャッチ,ボードゲーム,https://shop.jellyjellycafe.com/products/detail/50,https://m.media-amazon.com/images/I/41xs-o2mAjL._AC_.jpg,8
ワードバスケット,ボードゲーム,https://shop.jellyjellycafe.com/products/detail/28,https://shop.jellyjellycafe.com/html/upload/save_image/0129181036_5a6ee50cb7f0d.jpg,8
ドデリド,ボードゲーム,https://note.com/8739168/n/ne3319350c41d,https://www.mobius-games.co.jp/DreiMagier/DoDeLiDo-box.jpg,6
ドラダ,ボードゲーム,https://bosodate.com/dorada/,https://m.media-amazon.com/images/I/61fCe04KGRL._AC_SL1001_.jpg,4
DIVE!,ボードゲーム,https://arclightgames.jp/product/229dive/,https://arclightgames.jp/wp-content/uploads/2021/04/a0e66705bdcdde6f12158188715168a9-575x575.jpg,4
狩歌,ボードゲーム,https://www.xaquinel.com/works/caruuta-basic-set,https://images.ctfassets.net/dua0zs297hqf/1AOfNtxf2JCaPtFT6aCi7u/d18fd456d6f3cfee997bb01683320e07/caruuta-basic-set.png?q=35&fm=webp,8
クー,ボードゲーム,https://bodoge.hoobby.net/games/coup-city-state?srsltid=AfmBOorUiWZo62jbfzxfNd0g_rpBz6jaXh3iU1DAWCUcxfcPBsz5gQYd,https://m.media-amazon.com/images/I/91zy7A+iz-L._AC_SL1500_.jpg,6
